DU,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2008 0:00,292.157684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2008 0:00,277.777283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2008 0:00,286.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2008 0:00,290.795471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2008 0:00,285.849091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2008 0:00,278.606262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2008 0:00,277.128876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2008 0:00,275.768677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2008 0:00,273.79129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2008 0:00,265.88736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2008 0:00,269.698029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2008 0:00,283.112579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2009 0:00,303.565857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2009 0:00,291.941772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2009 0:00,302.507416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2009 0:00,313.632141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2009 0:00,286.511658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2009 0:00,294.318817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2009 0:00,278.515533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2009 0:00,275.319366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2009 0:00,274.97998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2009 0:00,266.327545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2009 0:00,272.136047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2009 0:00,285.922028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2010 0:00,294.086151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2010 0:00,320.379791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2010 0:00,295.068024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2010 0:00,303.760071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2010 0:00,305.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2010 0:00,288.208923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2010 0:00,282.955383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2010 0:00,283.706635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2010 0:00,278.717957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2010 0:00,263.33786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2010 0:00,261.420715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2010 0:00,264.397186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2011 0:00,287.118927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2011 0:00,308.650055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2011 0:00,297.671051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2011 0:00,300.522736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2011 0:00,277.86972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2011 0:00,274.94162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2011 0:00,274.318329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2011 0:00,273.041443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2011 0:00,269.166443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2011 0:00,264.56424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2011 0:00,277.799683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2011 0:00,271.852539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2012 0:00,289.948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2012 0:00,292.907867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2012 0:00,311.227417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2012 0:00,295.850159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2012 0:00,296.88858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2012 0:00,288.673157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2012 0:00,281.637695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2012 0:00,275.760925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2012 0:00,274.754364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2012 0:00,272.538971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2012 0:00,274.293457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2012 0:00,273.636047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2013 0:00,279.840179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2013 0:00,279.572144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2013 0:00,294.325531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2013 0:00,302.793549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2013 0:00,295.610016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2013 0:00,284.037262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2013 0:00,279.644318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2013 0:00,279.862915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2013 0:00,274.380554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2013 0:00,268.888519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2013 0:00,271.911682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2013 0:00,288.408295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2014 0:00,297.081635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2014 0:00,301.175385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2014 0:00,318.940521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2014 0:00,301.925751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
